Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
Tendy TrustNepal,"Apanga,Asahaya, Balbalika tatha Mahila kshemata abhibriddhi pariyojana.",Kathmandu,"Sponsor TrekNepal, Netherlands.","1,319,500.00",,Child/Women/Disable
Tewa,The fund forglobal human rights.,Lalitpur,"The Fund forGlobal HumanRights, USA.","486,555.00",,Women
Tewa,Core support.,Lalitpur,"Oka Foundation,Switzerland.","2,474,803.25",,Women
Tewa,Global Fundfor Women,Lalitpur,"Global Fund forWomen, USA.","2,472,783.25",,Women
Tewa,Managementof training logistics for women peace mediation workshop.,Lalitpur,"Peace WomenAcross the Globe International Secretariat, Switzerland, mail: info@1000peace women.org.","4,496,755.84","100,000.00",Women
The EastFoundation (TEF),Buildingclimate resilience- conservation of Mai Pokhari Ramsar Site and its surrounding wetlands.,Ilam,"Multi StakeholderForestry Programme (MSFP), Kathmandu.","4,801,000.00","1,665,000.00",Environment
The LightHouse Foundation,Child home,Kathmandu,"Touching Asia,Singapore.","8,640,000.00",,Child home
The LightHouse Fundation,Child home,Kathmandu,"1. Touching Asia,Sweden. 2. Check trade. Com. London. 3. Global Compassion, UK.4. Bentham Foundation, Australia. 5. Lighthouse Christliche Dienste e.v., Europe. 6. Experience Church. Tv, USA.7. Love Nepal, Sweden.","38,102,400.00",,Child home
The NationalSpiritual Assembly of the Bahais of Nepal,Education fortransformatio n.,"Morang.Sunsari, Saptari, Parsa, Kathmandu, Lalitpur, Rupandehi, Kapilvastu, Dang, Banke, Bardiya, Kailali &Kanchanpur.","The InternationalTeaching Centre, Bahai World Centre, Israel.","10,529,757.00","1,500,000.00",Education
The PaharTrust Nepal,a. Schoolbuilding construction development program b. Scholarship distribution for 101 students.,"Baglung,Parvat, Dhankuta & Taplejung.","Pahar Trust, UK.","25,669,950.00",,Education
The SmallEarth - Nepal,Runoffscenario and water based adaptation strategies in South Asia.,"Surkhet,Kalikot & Humla.","Asia PacificNetwrok (APN), Japan.","5,036,000.00",,Research
The SmallEarth-Nepal,Policy brief'writeshop' for early career researcher: An approach to promote greater science-policy interface in South Asia.,Kathmandu,"Asia-PacificNetwork (APN), Japan. www.apn- gcr.org","3,528,000.00",,Research
The SmallWorld (TSW),"Schoolbuilding construction of Himalaya Lower Secondry School, Basa.",Solukhumbu.,"EDGE OF 7,USA.","1,140,000.00","556,000.00",Education
The SmallWorld (TSW),Scholarshipprogram to Soluknumbu Girls Hostel.,Solukhumbu.,"Kina SocialVentures & Hope for the Nation, Canada.","1,000,000.00",,Education
The SouthAsia Trust,Support forhimal south asian media.,Lalitpur,"Royal NorwegianEmbassy, Kathmandu.","5,895,079.06",,Media
The SouthAsia Trust,Support tohimal south asian online media.,Lalitpur,"Foundation OpenSociety Institute, Switzerland.","9,489,936.50",,Media
The Women'sFoundation,Eye camp forthe poor and marginalized people of Kathmandu.,Kathmandu,"GLS Treuhand,Germany.","973,560.00",,Health
The World inJustice,Communitydevelopment program.,"Kathmandu,Ramechhap& Kavre.","Tevel b' Tzedek,Israel. (Mr. MichaOdenheimer)","14,191,300.00",,Community development
TourismDevelopment Endeavors (TUDE),I am a powershifter.,Kathmandu,"Global GreenGrants Fund, USA","999,850.00",,Environment
TransculturalPsychosocial Organization (TPO) Nepal,Combatingtrafficking in persons (CTIP) Project.,"Kathmandu,Makawanpur, Sindhupalch owk, Kavrepalanc howk, Banke& Kanchanpur.",The AsiaFoundation/Nepal,"6,627,780.00",,Health(Mental)/ Gender base violence.
TransculturalPsychosocial Organization (TPO),Mental healthBeyond Facilities (mhBeF).,Pyuthan,"MakerereUniversity, Uganda,","11,902,473.00",,Health(Mental)
TransculturalPsychosocial Organization (TPO),Emergingmental health systems in low-and middle - income countries (EMERLAD).,Kathmandu,"King's College,London, UK. Www.iop.kcl.ac.u k","6,499,942.00","1,864,017.00",Health(Mental)
Transparency International Nepal,,Dhading & Udayakpur,,,,
TransparencyInternational Nepal,Governanceand organizationa lstrengthening funding.,All Nepal.,"TransparencyInternational Secretariat (TI-S), Germany.","761,886.00",,Transparency
TransparencyInternational- Nepal,South-southAisa. (Exchange program).,Kathmandu.,"Fredskorpset(FK), Norway,","3,383,850.00",,Corruptions
Triyog YubaShamuha,Budhabaresuspension bridge construction.,Sankhuwasabha,"Triyog HimalayaTrust, NewZealand,","3,878,550.18",,Community development
True WaySocial Service Nepal,Peacecampaign for society.,"Kathmandu,Tanahun, Makawanpur, Bara, Nawalparasi, Sindhupalch owk, Dolakha, Dhankuta, Gorkha, Nuwakot & Kavre.","I Kuan Tao BaoGuang Jian De Tao Society Subsidiary Charity Foundation, Taiwan.","1,000,000.00",,Peacemaking
Tukee NepalSociety,"Jyamrungeducation, health and micro hydro power extension project.",Dhading,"Tuki NepalSociety, Sweden.","1,705,000.00","85,000.00",Education/health/hydrop ower
Tukee NepalSociety,"Jyamrungeducation, health and micro hydro power extension project.",Dhading,"Tuki NepalSociety, Sweden.","1,705,000.00","85,000.00",Education/health/hydrop ower
Tukee NepalSociety,"Jyamrungeducation, health and environment project.",Dhading,"Tuki NepalSociety, Sweden.",1923700,,Education/Health
U.H.G.HumanFoundation Nepal,Promotingbasic education by establishing Mahyuee Community Children Center.,Chitwan,"Good Helpers,South Korea.","4,594,587.00",,Edcuation
Uddhar Nepal,BalkhuCommunityHealth Post.,Kathmandu,"Life Care Society,Singapore,","974,400.00","303,600.00",Health
Uddhar Nepal,Holicticdevelopment and care program to HIV/AIDS infected and affected children and family.,Kanchanpur,"Life Care Society,Singapore",3474800,"50,000.00",
Uddhar Nepal,Grace homeeducation & empowermen t center.,Lalitpur,"Life Care Society,Singapore.2401630","2,401,630.00","126,400.00",Education/Child
UnitedCampaign Nepal,"Drinkingwater, Irrigation and smokeless stove project.",Kalikot &Surkhet.,"1. InternationalTeam France. 2. Lichtenstein,m, Germany.","765,000.00",,Child/Health
United VisionNepal,WholisticCommunity Development and Transformati on Programme (WCDTP).,"Gorkha,Bara, Siraha, Lalitpur & Kanchanpur.","1) ELIMInternational Missions, UK(mission@elim hq.net, www.elimmission s.co.uk, 2) Young& Associates, Australia (Sidney),(mike@yakpost.n et, 3) Samaritan's Purse, Canada (info@samaritan. ca","33,848,310.00","555,000.00",Education
Unity forSustainable Development Nepal,Educationand health support project.,Makawanpur,Lischa Himalayae.v.Germany.,"17,037,772.98",,Education/Health/Comm unity development
Utsaha Nepal,Utsahaprogram.,Lalirpur,BarnabasFellowship Inc. USA. barnabas@global gifts.org,"2,600,000.00",,communitydeveloopme nt
Voice ofChildren (VOC),Reintegrationof street and at risk children in Eastern Nepal through the comprehensi ve approach.,Sunsari,InternationaChildcare Trust.,"6,893,040.00",,child
Voice ofChildren,Rehabilitationand reintegration of street & sexually abused children.,Lalitpur,"Childright, TheNetherlands, www.childright.nl","3,300,000.00",,Child
Voice ofChildren,Buildingconstruction for rehabilitation center of voc.,Lalitpur,"1. PARTAGE,France 2. StarsFoundation, UK.3. World Childhood Foundation, Swiss.","3,790,682.00","2,084,600.17",Child
Voice ofChildren,protecting themost disadvantage d children of Nepal.,Lalitpur,"World ChildhoodFoundation, Sweeden.","3,092,840.00",,Child
Voice ofChildren,Rescue andrehabilitation of street children in Kathmandu Valley.,Lalitpur,"Partge, France.","8,400,000.00",,Child
Voice of Fetus,AbortionControlling Program (ACP).,"Lalitpur,Kathmandu, Bhaktapur, Parsa, Bara, Rautahat, Sarlahi, Mahottarai, Siraha, Saptari, Makawanpur& Kanchanpur.","1. Dieter Walter &Claudia Walter, USA. 2. 10/40Connections, 3. Vera Lucia & Oskar Armindo Ruppenthal, Brazil.","902,500.00","300,000.00",Health(Women/Ch ild)
VolunteersInitiativeNepal,EuropeanVolunteers Service (EVS) Project.,Okhaldhunga,AssociationCazalla.,3144093.75,,Communithdevelopment
VolunteersInitiativeNepal,Intergratedcommunity development project.,Kathmandu& Okhaldhung a.,Different doners,"16,576,970.76","310,301.24",Community development
Water,UP-scaling ofknowledge management RCNN,Kathmandu.,"ICCOCooperation, Nenpal.www.icco- international.com, email:nepal@icco- cooperation.org.","1,178,000.00",,Water/sanitation/hygien ic
WelfareAssociation for Children Tikapur (WACT),Naya JeevanBal Griha (new life grace home),Kailali,"First PresbyterianChurch, USA., Mr. and Mrs. Casseday, Roland Chase (via. Dr. Dick Harding Charity Fund for Nepal)","353,130.00","16,527.00",Child home
WelfareAssociation for Children Tikapur (WACT),Naya jeevanbal driha (New life home).,Kailali,"1. FirstPresbyterian Church, USA. 2. Mr. and Mrs. Casseday, Roland Chase (Via Dr. Dick Harding Charity Fund for Nepal), USA.","353,130.00","16,527.00",Child/education
WelfareAssociation for Children Tikapur (WACT),Communityhealth and development project.,Kailali,"Tear Australia,Australia","3,391,080.00","225,580.00",Health/Women
WomenAwareness Centre Nepal (WACN),campaigndenouncing domestic violence against women and girls.,Kathmandu,"Global Fund forWomen, USA.","1,079,609.45",,Women/Girls
WomenAwareness Centre Nepal (WACN),campaigndenouncing domestic violence against women and girls.,Kathmandu,"Global Fund forWomen, USA.","1,079,609.45",,Women/Girls
WomenEmpowerment Support Team (WEST),Nagarikpratibedan patra ko adhar bata swastha sasthaharum a samajik jawafdehita abhibridhi pariyojana.,Dhankuta.,Centre forInternational Studies and Cooperation (CECI).,"761,400.00",,Health
Women forHuman Rights (Single Women Group),Strategic andoperational plan.,"Sunsari,Kathmandu, Chitwan, Kaski, Surkhet & Kailali.","Danida Hugou,Nepal.hugou@hu gou.org.np","3,500,000.00",,Women
Women forHuman Rights (Single Women Group),Strategic andoperational plan.,"Sunsari,Kathmandu, Chitwan, Kaski, Surkhet & Kailali.","Danida Hugou,Nepal.hugou@hu gou.org.np","3,500,000.00",,Women
Women forHuman Rights,Strengthening the Organizations of UrbanPoor Homebased workers for Greater Visibility and Partipantion in City Governance in Nepal.,"Kathmandu,Bhaktpur, Lalitpur","Home Net SouthAsia, India","2,207,750.00",,Women
Women forHuman Rights,Capacitybuilding of single women formeaningful representativ e in local government.,"Kailali,Dadeldhura, Kanchanpur& Doti",Canadian Fundfor Local Initiatives (CFLI). Kathmandu.,"3,760,040.00",,Women
Women forHuman Rights,GenderResponsive recovery for Sustainable Peace (GRRSP).,"Kavre,Ramechhap& Sindhuli.","Un Women,Nepal.","5,096,000.00",,Women
Women forHuman Rights,Capacitybuilding of single women for voter education.,"Kathmandu,Dhanusha, Doti & Surkhet.",The DeutscheGesellschaft fur Internationale Zusammenarbeit.,"882,500.00",,Women
Women forPeace and Democracy- Nepal,Socioeconomic Empowerme nt Program for Women & Marginalized (SEWAM),"Sarlahi,Makawanpur, Chitwan & Dhanusha.","World Accord,Canada, email: nrosales@worlda ccord.org.","2,726,442.00",,Women
Women ForumFor Women in Nepal,Capacitybuilding of Women Forum For Women.,Kathmandu,"The AsiaFoundation,","863,769.00",,Women
Women Forumfor Women in Nepal,Capacitybuilding initiative.,Kathmandu,"Global Fund forWomen, USA.","739,875.00",,Women
Women Forumfor Women in Nepal,StrengtheningWOFOWON programmati cally for addressing and advocating the rights of women working in the informal andentertainment sector.,Kathmandu,"South AsiaWomen's Fund, Sri-Lanka.","970,000.00",,Women
Women ForumFor Women in Nepal,AdvocacyPhase of Feminist Participatory Action Research,Kathmandu,"Asia PacificForum on Women, Law and Development (APWLD), Thailand","156,160.00",,Women
Women LeadNepal,2013leadership institute.,Lalitpur,"Women LEAD c/oYouth Venture, USA.","211,500.00",,Women
Women Lead,Resourcecenter.,Lalitpur,"ETOSE : People& Places, Germany.","409,000.00",,Women
Women SkillCreation Centre Nepal (WOSCC),Enhancetraining employment and income generating opportunities for people with spinal cord injury.,Dailekh &Makawanpur.,"Foundation OpenSociety Institute, USA.","2,124,538.75",,Women
Women SkillCreation Centre Nepal (WOSCC),Empowerment Against Human Trafficking and Slavery (EAHST).,Makawanpur,"Free The Slave,USA.","3,681,365.00",,Humantrafficking
Women'sAlliance forPeace,Rights-basedadvocacy to empower women for political and social justice.,"Dhankuta,Ilam, Siraha, Makawanpur, Kathmandu, Kavre, Kaski,Nawalparasi, Gorkha, Banke, Surkhet, Dailekh, Dadeldhura, Doti & Kanchanpur.","Royal NorwegianEmbassy, Lalitpur.","82,143,438.00",,Women
Women'sRehabilitation Center (WOREC),Nationalalliance of women human rights defenders' capacity building.,Kathmandu& Lalitpur.,"South AsianWomen's Fund(SAWF),","990,000.00",,Women
Women'sRehabilitation Center (WOREC),Sustainabletransformatio n of agricultural systems for enhancing livelihood security of subsistence farmers in Salyan District.,Salyan,"Aide a I' Enfacede I'Inde (AEI), Luxembourg.","15,898,540.00",,Women/Child/ Farmers
Women'sRehabilitation Center (WOREC),Securingwomen's right to mobility.,"Morang,Sunsari, Jhapa, Udayapur, Nawalparasi, Dang, Bardiya, Kailali, Siraha, Dhanusha, Kathmandu& Lalitpur.","South AsianWomen's Fund(SAWF),","990,000.00","114,500.00",Women
Women'sRehabilitation Center (WOREC),Integratedwomen empowermen t & sexual reproductive health right of women and girls.,Dang,"AEI, Luxembourg.","4,848,000.00","332,000.00",Women/Health
Women'sRehabilitation Centre (Worec Nepal),Promotingfood security and sustainable livelihoods.,"Udayapur,Dang & Siraha.","AEI, Luxembourg.","22,118,194.00","3,519,500.00",Women/Health
Women'sRehabilitation Centre (Worec Nepal),End dowry:noto dowry and yes to women's property rights.,Dhanusha &Siraha,"Women's WorldDay of Prayer - German Committee, German.","7,265,408.00","415,892.00",Women
Women'sRehabilitation Centre (WOREC) Nepal Kathmandu.,A Communitybased initiative to promote healthy womenhood through building capacity of women and girls.,"Kathmandu,Dhanusha, Siraha, Udaypur, Morang.","Foundation for aJust Society,","14,790,000.00","460,955.00",Women
Women'sRehabilitation Centre (WOREC) Nepal Kathmandu.,Survivors tochange Makers: Up- scaling the practices in addressing Violence against Women in Nepal through promoting peace and democracy.,"Morang,Sunsari, Udaypur, Sirha, Dang, Dhangadhi, Dhanusha, Kathmandu.","MISEREOR, Kze","38,647,130.00","1,177,000.00",Women
Women'sRehabilitation Centre (WOREC) Nepal Kathmandu.,Improvingaccess to justice and support mechanism of trafficking(Grant No.13-4739R).,"Dhanusha,Sirha, Udaypur, Morang, Sunsari, Dang, Kailali.",Global Fund forWomen,"1,960,000.00",,Women
Women'sRehabilitation Centre,"Conceptpaper strengthening data management on violence against women and publish analytical report on VAW ""Anbeshi"".",Kathmandu,Embassy ofSwitzerland inNepal.,"4,450,000.00",,"Babu RamGautam,5006373"
Young LifeNepal,Biblic trainingand community development program.,"Kaski,Kathmandu, Gorakha & Rupandehi",Young LifeUSA.Clif.davidso n@gmail.com,"4,282,640.00","472,800.00",Community development/Religion
Youth Actingfor Change,Strengthening right to food in Far -West Nepal.,"Kailali,Kanchanpur, Dadeldhura, Doti, Achham, Bajura, Baitadi, Bajhang & Darchula.",Brot Fur die Welt -EvangelischerEntwicklungsdient.,"30,245,000.00",,Human right
Youth ActionNepal,Promotingcohesion and cross-cultural understandin g amoung youth of Nepal.,"Jhapa, Bara,Palpa, Dang, Kailali & Kathmandu.","Director, GPSO-NY Office, UNOPS, USA.","2,250,000.00",,Youth
Youth Eyeservice,Free satelliteclinic and cataract surgery.,Kathmandu,"Royal ThaiEmbassy, Kathmandu.","285,144.00",,Health (eye)
Youth EyeService,Free eyescreening and cataract surgery camp.,Rupandehi,"Royal ThaiEmbassy, Kathmandu.","548,771.87",,Health (eye)
Youth Vision,Bridging the gaps:health & rights for the key population.,"Kathmandu,Lalitpur & Kathmandu.","Mainline Foundation, The Netherlands.","22,974,040.00",,Health(HIV/AIDS)
Youth Vision,Residentialdrug treatment (buprenorphi ne) and care service for female drug users and women living with HIV/AIDS.,"Lalitpur,Kathmandu& Kaski.","UNODC, Nepal.","4,179,500.00",,Women
YUWA,Youthsolutions ! technology for skill anddevelopment.,Kathmandu,"SarvodayaFusion, Srilanka.","1,774,800.00","486,000.00",Youth
YUWA,Project Iunder_standHIV.,Kathmandu,"MTV Staying Alive Foundation, UK.","2,137,500.00",,Health (HIV/AIDS)
YUWA,Young advocates' advocacy efforts.,Kathmandu,"International Planned Parenthood Federation (IPPF), India.","850,500.00",,Health (HIV/AIDS)
YUWA,U.S.Embassyyouth council.,Kathmandu,"U.S.Embassy,Kathmandu.","4,500,000.00",,Youth
